name,ticker,cik,cusip,exchange,isDelisted,category,sector,industry,sic,sicSector,sicIndustry,famaSector,famaIndustry,currency,location,id
META PLATFORMS INC,META,1326801,30303M102,NASDAQ,False,Domestic Common Stock,Technology,Internet Content & Information,7370,Services,Services-Computer Programming Data Processing Etc.,,Business Services,USD,California; U.S.A,0b170c90ba53adf98cceae180722b20c
AUTOMATIC DATA PROCESSING INC,ADP,8670,053015103,NASDAQ,False,Domestic Common Stock,Industrials,Staffing & Employment Services,7374,Services,Services-Computer Processing & Data Preparation,,Business Services,USD,New Jersey; U.S.A,72d26107d94093bc0e9b1b203f66bfd9
MAXIM INTEGRATED PRODUCTS INC,MXIM,743316,57772K101,NASDAQ,True,Domestic Common Stock,Technology,Semiconductors,3674,Manufacturing,Semiconductors & Related Devices,,Electronic Equipment,USD,California; U.S.A,d91a97c26e1bb5434b3a01490b3c1d14
SHERWIN WILLIAMS CO,SHW,89800,824348106,NYSE,False,Domestic Common Stock,Basic Materials,Specialty Chemicals,5200,Retail Trade,Retail-Building Materials Hardware Garden Supply,,Retail,USD,Ohio; U.S.A,55a5a4d167e79d66950c9df91a81a275
P10 INC,PX,1841968,69376K106,NYSE,False,Domestic Common Stock,Financial Services,Asset Management,6282,Finance Insurance And Real Estate,Investment Advice,,Trading,USD,Texas; U.S.A,65f88eb4f2918d786ab0e3c91080086a
INTERNATIONAL GAME TECHNOLOGY PLC,IGT,1619762,G4863A108,NYSE,False,ADR Common Stock,Consumer Cyclical,Gambling,7990,Services,Services-Miscellaneous Amusement & Recreation,,Entertainment,EUR,United Kingdom,e48df0e88b6db54100042fd8c713c50a
SLM CORP,SLM,1032033,78442P106 78442A109 90390U102,NASDAQ,False,Domestic Common Stock Primary Class,Financial Services,Credit Services,6141,Finance Insurance And Real Estate,Personal Credit Institutions,,Banking,USD,Delaware; U.S.A,d076e8bee1377db5b5bf6513323def9d
HEINZ H J CO,HNZ,46640,423074103,NASDAQ,True,Domestic Common Stock,Consumer Defensive,Packaged Foods,2030,Manufacturing,Canned Frozen & Preservd Fruit Veg & Food Specialties,,Food Products,USD,Pennsylvania; U.S.A,ed6371da63214cc7c18939695a0684a4
MOHAWK INDUSTRIES INC,MHK,851968,608190104,NYSE,False,Domestic Common Stock,Consumer Cyclical,Furnishings Fixtures & Appliances,2273,Manufacturing,Carpets & Rugs,,Textiles,USD,Georgia; U.S.A,27b0bd536ad56479f0baf17e238892db
ROSS STORES INC,ROST,745732,778296103,NASDAQ,False,Domestic Common Stock,Consumer Cyclical,Apparel Retail,5651,Retail Trade,Retail-Family Clothing Stores,,Retail,USD,California; U.S.A,9e1d695ae7046195f24f6f99a60c7bfd
CONSOLIDATED NATURAL GAS CO,CNG,23738,209615103,NYSE,True,Domestic Common Stock,Utilities,Utilities - Regulated Gas,4923,Transportation Communications Electric Gas And Sanitary Service,Natural Gas Transmisison & Distribution,,Utilities,USD,Virginia; U.S.A,016c27dd07dea52d59d7970611be6196
UNITED RENTALS INC,URI,1067701,911363109,NYSE,False,Domestic Common Stock,Industrials,Rental & Leasing Services,7359,Services,Services-Equipment Rental & Leasing Nec,,Business Services,USD,Connecticut; U.S.A,626a57f2136021a369d4f5aeb6850e90
SYMBOL TECHNOLOGIES INC,SBL,278352,871508107,NYSE,True,Domestic Common Stock,Technology,Computer Hardware,3577,Manufacturing,Computer Peripheral Equipment Nec,,Computers,USD,New York; U.S.A,d05534e3ad9f4e7992b0236f16292752
ASSURANT INC,AIZ,1267238,04621X108,NYSE,False,Domestic Common Stock Primary Class,Financial Services,Insurance - Specialty,6399,Finance Insurance And Real Estate,Insurance Carriers Nec,,Insurance,USD,New York; U.S.A,75f402fc34d2eb44f476324843fbe933
BANK OF AMERICA CORP,BAC,70858,060505104 06605F102 638585109,NYSE,False,Domestic Common Stock Primary Class,Financial Services,Banks - Diversified,6021,Finance Insurance And Real Estate,National Commercial Banks,,Banking,USD,North Carolina; U.S.A,94696f9199961074a510abfeabde0c51
TECHNIPFMC PLC,FTI,1681459,G87110105,NYSE,False,Domestic Common Stock,Energy,Oil & Gas Equipment & Services,3533,Manufacturing,Oil & Gas Field Machinery & Equipment,,Machinery,USD,United Kingdom,37cff0a4afc71a84abca9623001f709e
ROLLINS INC,ROL,84839,775711104,NYSE,False,Domestic Common Stock,Consumer Cyclical,Personal Services,7340,Services,Services-To Dwellings & Other Buildings,,Business Services,USD,Georgia; U.S.A,17ee14bc269f5e3ead224edce9b71dc6
WELLTOWER INC,WELL,766704,95040Q104 42217K106,NYSE,False,Domestic Common Stock Primary Class,Real Estate,REIT - Healthcare Facilities,6798,Finance Insurance And Real Estate,Real Estate Investment Trusts,,Trading,USD,Ohio; U.S.A,5923a545ac0af909abc60e8e2a101a6a
HORTON D R INC,DHI,882184,23331A109,NYSE,False,Domestic Common Stock,Consumer Cyclical,Residential Construction,1531,Construction,Operative Builders,,Construction,USD,Texas; U.S.A,9cd636d43fa187df92a761d1b7f229c2
COOPER INDUSTRIES PLC,CBE,1141982,G24140108 G24182100 216669101,NYSE,True,Domestic Common Stock,Technology,Electronic Components,3670,Manufacturing,Electronic Components & Accessories,,Electronic Equipment,USD,Ireland,35eabb61b42fbacea18073a8f3d56942
PUBLIC SERVICE ENTERPRISE GROUP INC,PEG,788784,744573106,NYSE,False,Domestic Common Stock,Utilities,Utilities - Diversified,4931,Transportation Communications Electric Gas And Sanitary Service,Electric & Other Services Combined,,Utilities,USD,New Jersey; U.S.A,dd807e70c98d711154fd535921b29da2
EXXON MOBIL CORP,XOM,34088,30231G102 302290101,NYSE,False,Domestic Common Stock,Energy,Oil & Gas Integrated,2911,Manufacturing,Petroleum Refining,,Petroleum and Natural Gas,USD,Texas; U.S.A,f035809b9b79ce0c0a792da31c6882a9
WATERS CORP,WAT,1000697,941848103,NYSE,False,Domestic Common Stock,Healthcare,Diagnostics & Research,3826,Manufacturing,Laboratory Analytical Instruments,,Measuring and Control Equipment,USD,Massachusetts; U.S.A,16f09a56ecf22bbe5dc35079533b6eac
ENTERGY CORP,ETR,65984,29364G103,NYSE,False,Domestic Common Stock,Utilities,Utilities - Diversified,4911,Transportation Communications Electric Gas And Sanitary Service,Electric Services,,Utilities,USD,Louisiana; U.S.A,639b2f9ea09edb1a9673030acf421ea9
